series,episode,baker,result,signature_bake,technical,show_stopper,baker_name,baker_age,baker_occupation,hometown
6,6,Mat,STAR BAKER,Piña Colada Frangipane Tart,1,His 'n' Hers Vol-au-vents,Mat Riley,37,Fire fighter,London
6,6,Nadiya,IN,"Bay Leaf, Rong Tea and Pear Tart",4,Bengali Korma and Clementine with Cod Vol-au-vents,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,6,Paul,IN,Christmas Frangipane Tart,5,Savoury and Sweet Bouchées,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,6,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Tamal,IN,Spiced Pear Frangipane Tart,7,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Tamal Ray,29,Trainee anaesthetist,Manchester
6,6,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Flora,IN,Game Pie with Shallot and Apple Chutney,4,"Raspberry, Pomegranate and Champagne Charlotte Russe",Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,7,Ian,IN,Roadkill Pie,5,Victoria's Crown Charlotte Russe,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,7,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Mat,OUT,Raised Venison and Pigeon Pie,6,Strawberry Charlotte Russe,Mat Riley,37,Fire fighter,London
6,7,Nadiya,IN,Aromatic Raised Game Pie,1,Mango and Raspberry Charlotte Russe,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,7,Paul,IN,Not a Boaring Pie,2,Charlotte Rose,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,7,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Tamal,STAR BAKER,Middle Eastern Game Pie,3,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Tamal Ray,29,Trainee anaesthetist,Manchester
6,7,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Flora,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,8,Ian,IN,Mont Blanc & Black Forest Gâteau Horns,2,Nun with Hidden Passions,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,8,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Mat,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Nadiya,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,1,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,8,Paul,OUT,Café Tipple & Banana Crunch-away Horns,5,Religieuse à l'ancienne,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,8,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Tamal,IN,Lime & Mascarpone and Malt Cream Horns,4,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Tamal Ray,29,Trainee anaesthetist,Manchester
6,8,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Flora,OUT,Passion Fruit and Chocolate Tart,1,Cocoa Carousel,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,9,Ian,IN,Chocolate and Bay Tart,3,Chocolate Well,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,9,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Mat,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Nadiya,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,4,Peacock in Nan's Door,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,9,Paul,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Tamal,IN,Chocolate New York Pie,2,Chocolate Bell Tower,Tamal Ray,29,Trainee anaesthetist,Manchester
6,9,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Flora,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Ian,Runner-up,Elderflower and Lemon & Spiced Buns,2,Colossal Curvy Carrot Cake,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,10,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Mat,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Nadiya,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1,My Big Fat British Wedding Cake,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,10,Paul,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Tamal,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3,Sticky Toffee Pudding Cake,Tamal Ray,29,Trainee anaesthetist,Manchester
6,10,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
7,1,Andrew,IN,Lemon and Rosemary Drizzle Cake,12,'Ultimate Indulgence' Mirror Glaze Cake,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,1,Benjamina,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",6,White Chocolate Mirror Glaze with Salted Praline Buttercream,Benjamina Ebuehi,23,Teaching assistant,South London
7,1,Candice,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,5,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,1,Jane,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,7,Chocolate Orange Mirror Cake,Jane Beedle,61,Garden designer,Beckenham
7,1,Kate,IN,Berry Best Apple and Bramble Drizzle Cake,4,One Swallow Does Not Make A Summer Cake,Kate Barmby,37,Nurse,"Brooke, Norfolk"
7,1,Lee,OUT,St. Clements Orange and Lemon Drizzle Cake,11,Strawberry Surprise Mirror Cake,Lee Banfield,67,Pastor,Bolton
7,1,Louise,IN,Orange Liqueur and Lemonade Drizzle Cake,9,White Chocolate Trifle Mirror Glaze Cake,Louise Williams,46,Hairdresser,Cardiff
7,1,Michael,IN,"Lime, Ginger and Honey Drizzle Cake",3,Matcha Tea Chocolate Mirror Glaze,Michael Georgiou,20,Student,Durham
7,1,Rav,IN,Ginger Spice Yuzu Drizzle Cake,8,Colombian Mocha Mirror Glaze Cake,Rav Bansal,28,Student support,Erith
7,1,Selasi,IN,Citrus and Spice Drizzle Cake,1,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Selasi Gbormittah,30,Client service associate,London
7,1,Tom,IN,G&T Drizzle Cake,2,Black Forest Broken Mirror,Tom Gilliford,26,Project engagement manager,Rochdale
7,1,Val,IN,Mum's Orange and Lemon Drizzle,10,Chocolate Sponge with Four Fruit Frosting,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,2,Andrew,IN,Beehive Biscuits,4,Punting in Cambridge,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,2,Benjamina,IN,Bouquet Biscuits,3,"New York, New York",Benjamina Ebuehi,23,Teaching assistant,South London
7,2,Candice,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",8,Gingerbread Pub with Sticky Ginger Carpet,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,2,Jane,IN,Flower Pot Iced Biscuits,2,Hastings Old Town Fishing Net Shops and Boat,Jane Beedle,61,Garden designer,Beckenham
7,2,Kate,IN,"""A Biscuit for the Broads""",1,"""I Promise I will do my best""",Kate Barmby,37,Nurse,"Brooke, Norfolk"
7,2,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,2,Louise,OUT,Baa Bara Brith Biscuits,10,Gingerbread Wedding,Louise Williams,46,Hairdresser,Cardiff
7,2,Michael,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",9,Trip to See Santa in Lapland,Michael Georgiou,20,Student,Durham
7,2,Rav,IN,Union Jack Bunting Biscuits,6,Gingerbread Christmas Fairground,Rav Bansal,28,Student support,Erith
7,2,Selasi,IN,"""Wheelie Hot Iced Biscuits""",11,Stained Glass Window Gingerbread Church,Selasi Gbormittah,30,Client service associate,London
7,2,Tom,IN,Chai Frappelatteccino Biscuits,7,Tom and Pod's Near Death Experience,Tom Gilliford,26,Project engagement manager,Rochdale
7,2,Val,IN,Sunday Treat Iced Ice Cream Cone Biscuits,5,From Holland to New York via Yorkshire,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,3,Andrew,IN,Chocolate Barmbrack Bread,2,Braided Harvest Bread Basket,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,3,Benjamina,IN,"Chocolate, Tahini and Almond Babka",6,Braided Bread Heart,Benjamina Ebuehi,23,Teaching assistant,South London
7,3,Candice,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",3,Italian Light and Dark Rye Twist,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,3,Jane,IN,Chocolate and Cranberry Couronne,9,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Jane Beedle,61,Garden designer,Beckenham
7,3,Kate,IN,Cobbled Loaf,8,The Corn Maiden,Kate Barmby,37,Nurse,"Brooke, Norfolk"
7,3,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,3,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,3,Michael,OUT,Chocolate and Chilli Swirl Plait,7,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Michael Georgiou,20,Student,Durham
7,3,Rav,IN,"Chocolate, Cardamom and Hazelnut Loaf",10,Three Tier Diwali Bread Centrepiece,Rav Bansal,28,Student support,Erith
7,3,Selasi,IN,"Chocolate, Orange and Cinnamon Bread",5,Bedouin Escape Tear and Share Bread,Selasi Gbormittah,30,Client service associate,London
7,3,Tom,STAR BAKER,Chocolate Orange and Chilli Swirl Bread,4,Jörmungandr and Mjölnir,Tom Gilliford,26,Project engagement manager,Rochdale
7,3,Val,IN,Double Chocolate Cinnamon Twist Loaf,1,"""And They All Went Into The Ark To Get Out Of The Rain""",Val Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,4,Andrew,IN,Yorkshire 'Tapas' Puddings,4,Churros Window Box,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,4,Benjamina,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1,Tropical Churros,Benjamina Ebuehi,23,Teaching assistant,South London
7,4,Candice,IN,Yorkshire Wellingtons,2,Two-Way Peanut Butter Churros,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,4,Jane,IN,Meat and Two Veg Yorkshires,3,Pistachio and White Chocolate Churros,Jane Beedle,61,Garden designer,Beckenham
7,4,Kate,OUT,Christmas Dinner Compromise,7,Hot Cross Bunny Churros,Kate Barmby,37,Nurse,"Brooke, Norfolk"
7,4,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Rav,IN,Thai Tofu Panang Yorkshires,9,Three Dip Matcha Pistachio Churros,Rav Bansal,28,Student support,Erith
7,4,Selasi,IN,Perfect Sunday Roast Accompaniment,8,Lemon and Anise Churros,Selasi Gbormittah,30,Client service associate,London
7,4,Tom,IN,West Yorkshire Fusion Puddings,5,Fennel Churros Snake In The Grass,Tom Gilliford,26,Project engagement manager,Rochdale
7,4,Val,IN,Mum's Chilli Yorkshire Puddings,6,Orange Chocolate Churros,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,5,Andrew,IN,Mum and Dad's Breakfast Pastries,6,Spicy Chorizo Squash Parcels and Baklava Bites,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,5,Benjamina,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,5,Plantain and Spinach Samosas and Chai Pear Cups,Benjamina Ebuehi,23,Teaching assistant,South London
7,5,Candice,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2,"Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,5,Jane,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1,"Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",Jane Beedle,61,Garden designer,Beckenham
7,5,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Rav,IN,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8,Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,Rav Bansal,28,Student support,Erith
7,5,Selasi,IN,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3,"Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",Selasi Gbormittah,30,Client service associate,London
7,5,Tom,IN,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,4,Yin and Yang Amuse-bouche,Tom Gilliford,26,Project engagement manager,Rochdale
7,5,Val,OUT,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7,"Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",Val Stones,66,"Semi-retired, Substitute teacher",Yeovil
7,6,Andrew,IN,Tangy Lime and Ginger Meringue Pie,6,Spring Elderflower Trio,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,6,Benjamina,IN,Grapefruit and Ginger Meringue Pie,2,Floral Tea Cake,Benjamina Ebuehi,23,Teaching assistant,South London
7,6,Candice,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5,Four Seasons Cake,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,6,Jane,IN,Lime and Coconut Meringue Pie,4,Three Tier Orange Cake with a Floral Chocolate Collar,Jane Beedle,61,Garden designer,Beckenham
7,6,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Rav,OUT,Mandarin Margarita Meringue Pie,3,Blossom Cake,Rav Bansal,28,Student support,Erith
7,6,Selasi,IN,"Grapefruit, Orange and Mint Meringue Pie",7,Three Tiered Ombré Floral Cake,Selasi Gbormittah,30,Client service associate,London
7,6,Tom,STAR BAKER,Blood Orange Halloween Pumpkin Pie,1,Floral Tea Cake,Tom Gilliford,26,Project engagement manager,Rochdale
7,6,Val,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Andrew,STAR BAKER,Tropical Holiday Roulade,1,Childhood Ice Cream Mousse Cakes,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,7,Benjamina,IN,Piña Colada Roulade,3,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,Benjamina Ebuehi,23,Teaching assistant,South London
7,7,Candice,IN,Crowd Pleaser Roulade,2,Blackberry and Raspberry Bubbles and After Dinner Mousse,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,7,Jane,IN,Chocolate and Hazelnut Roulade,4,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",Jane Beedle,61,Garden designer,Beckenham
7,7,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Rav,NA,NA,NA,NA,NA,NA,NA,NA
7,7,Selasi,IN,Summer Picnic Roulade,6,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",Selasi Gbormittah,30,Client service associate,London
7,7,Tom,OUT,Millionaire's Roulade,5,Hipster Picnic,Tom Gilliford,26,Project engagement manager,Rochdale
7,7,Val,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Andrew,IN,Da Vinci Inspired Geared Pies,2,Jousting Knights Marchpane,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,8,Benjamina,OUT,Mexican Adventure,4,Tudor Garden,Benjamina Ebuehi,23,Teaching assistant,South London
7,8,Candice,STAR BAKER,Cheesy Cheeky Fish Pies,1,Peacock,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,8,Jane,IN,Tudor Rose Pies,5,Swans,Jane Beedle,61,Garden designer,Beckenham
7,8,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Rav,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Selasi,IN,Bouquet of Flowers,3,Fruity Tudor Marchpane,Selasi Gbormittah,30,Client service associate,London
7,8,Tom,NA,NA,NA,NA,NA,NA,NA,NA
7,8,Val,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Andrew,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,2,Philharmonic Fondants,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,9,Benjamina,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Candice,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",3,Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,9,Jane,IN,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",1,Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,Jane Beedle,61,Garden designer,Beckenham
7,9,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Rav,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Selasi,OUT,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",4,Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,Selasi Gbormittah,30,Client service associate,London
7,9,Tom,NA,NA,NA,NA,NA,NA,NA,NA
7,9,Val,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Andrew,Runner-up,Crunchy Caramel Cassis Crown,1,Family and Friends' Favourites Picnic,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down"
7,10,Benjamina,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Candice,WINNER,Queen Victoria's Mango and Strawberry Crown,2,Picnic for Pearly Kings and Queens,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,10,Jane,Runner-up,"Red, White and Blue Meringue Crown",3,Family Favourites Feast,Jane Beedle,61,Garden designer,Beckenham
7,10,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Rav,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Selasi,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Tom,NA,NA,NA,NA,NA,NA,NA,NA
7,10,Val,NA,NA,NA,NA,NA,NA,NA,NA
8,1,Chris,IN,Tropical Fresh Fruit Cake,12,'Raised Pork Pie and Egg Surprise' Cake,Chris Geiger,50,Software developer,Bristol
8,1,Flo,IN,Citrus Layer Cake,9,'One in a Melon' Cake,Flo Atkins,71,Retired,Merseyside
8,1,James,IN,"Orange, Rhubarb & Ginger Crumble Cake",2,'Mock-accino and Croissant' Cake,James Hillery,46,Banker,"Brentwood, Essex"
8,1,Julia,IN,Courgette and Lemon Cake,3,'Russian Doll' Cake,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,1,Kate,IN,Moroccan Strawberry and Rose Cake,1,'Chocolate Terrarium' Cake,Kate Lyon,29,Health and safety inspector,Merseyside
8,1,Liam,IN,Apple and Almond Crumble Maple Loaf,8,'Stackin' Sunday' Cake,Liam Charles,19,Student,North London
8,1,Peter,OUT,Coconut Cake,10,'Bread on a Breadboard' Cake,Peter Abatan,52,IT programme manager,"Southend, Essex"
8,1,Sophie,IN,Pineapple and Coconut Sandwich Cake,5,'Champagne Bottle and Bucket' Cake,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,1,Stacey,IN,Granny Smith Apple and Walnut Cake,11,'Black Evening Clutch Bag' Cake,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,1,Steven,STAR BAKER,Bonfire Night Cake,6,'A Baker's Lunch' Cake,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,1,Tom,IN,Gilded Pear and Cardamom Cake,7,'Stack of Books' Cake,Tom Hetherington,29,Architect,Edinburgh
8,1,Yan,IN,Windfall Apple Crumble Cake,4,'Banana-ramen' Cake,Yan Tsou,46,Laboratory research scientist,North London
8,2,Chris,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,11,'The Great British Sail Off' Game,Chris Geiger,50,Software developer,Bristol
8,2,Flo,IN,Gin Jam Butties,10,'Pick My Bones' Game,Flo Atkins,71,Retired,Merseyside
8,2,James,IN,Rhubarb and Custard Whirls,3,'Coppit' Game,James Hillery,46,Banker,"Brentwood, Essex"
8,2,Julia,IN,Middle Eastern Delight Sandwich Biscuits,4,'A British Baking' Game,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,2,Kate,IN,Coconut Seashells for a Titanic Afternoon Tea,8,'Jungle' Game,Kate Lyon,29,Health and safety inspector,Merseyside
8,2,Liam,IN,Coffee Malted Pecan Shorties,7,'Classroom Classics' Game,Liam Charles,19,Student,North London
8,2,Peter,NA,NA,NA,NA,NA,NA,NA,NA
8,2,Sophie,IN,Lemon Limoncino Sandwich Biscuits,2,'Snakes and Ladders' Game,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,2,Stacey,IN,Sparkly Chocolate and Marshmallow Fluff Cookies,9,'Get to School' Game,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,2,Steven,STAR BAKER,Amarpressi Biscuits,6,'Check Bake' Game,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,2,Tom,IN,Coffee and Amaretto Kisses,5,'Drain Pipes and Ladders' Game,Tom Hetherington,29,Architect,Edinburgh
8,2,Yan,IN,'Mrs. Marian's PB 'n' B' Biscuits,1,'Adventures in Bakeland' Game,Yan Tsou,46,Laboratory research scientist,North London
8,3,Chris,NA,NA,NA,NA,NA,NA,NA,NA
8,3,Flo,OUT,Cinnamon and Orange Teacakes,7,'Davy Jones' Locker' Bread Sculpture,Flo Atkins,71,Retired,Merseyside
8,3,James,IN,Nordic Teacakes,9,'Owl in the Woods' Bread Sculpture,James Hillery,46,Banker,"Brentwood, Essex"
8,3,Julia,STAR BAKER,Earl Grey Dried Fruit Teacakes,2,'The Snail Under a Mushroom' Bread Sculpture,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,3,Kate,IN,Blueberry Buns,10,'Kraken' Bread Sculpture,Kate Lyon,29,Health and safety inspector,Merseyside
8,3,Liam,IN,Jamaican Spiced Teacakes,5,'Kneadapolitan' Bread Sculpture,Liam Charles,19,Student,North London
8,3,Peter,NA,NA,NA,NA,NA,NA,NA,NA
8,3,Sophie,IN,Tagine Teacakes,6,'Picnic Basket' Bread Sculpture,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,3,Stacey,IN,Cranberry and Cinnamon Teacakes,1,'Ascot Hat' Bread Sculpture,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,3,Steven,IN,Madras Cocktail Teacakes,3,'The Bag I Knead' Bread Sculpture,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,3,Tom,IN,Orange and Cranberry Teacakes,4,'Pink & Yellow Rose Centrepiece' Bread Sculpture,Tom Hetherington,29,Architect,Edinburgh
8,3,Yan,IN,'Mrs P's' Masala Chai Spiced Teacakes,8,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,Yan Tsou,46,Laboratory research scientist,North London
8,4,Chris,NA,NA,NA,NA,NA,NA,NA,NA
8,4,Flo,NA,NA,NA,NA,NA,NA,NA,NA
8,4,James,IN,'Windy City' Millionaire Shortbreads,2,Nutty Caramel Cake,James Hillery,46,Banker,"Brentwood, Essex"
8,4,Julia,IN,Pecan Salted Caramel Millionaire Shortbreads,9,Poppy Seed Caramel Cake,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
8,4,Kate,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,6,Sticky Toffee Apple Caramel Cake,Kate Lyon,29,Health and safety inspector,Merseyside
8,4,Liam,IN,Salted Peanut Butter Millionaire Shortbreads,3,White Layered Ginger Caramel Cake,Liam Charles,19,Student,North London
8,4,Peter,NA,NA,NA,NA,NA,NA,NA,NA
8,4,Sophie,IN,Jaffa Millionaire Shortbreads,4,Bird's Nest Caramel Cake,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,4,Stacey,IN,Rum Salted Caramel Millionaire Shortbreads,1,Chocolate and Coffee Caramel Cake,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire"
8,4,Steven,IN,Orange Macadamia Nut Millionaire Shortbreads,7,Caramel Crown Cake,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire"
8,4,Tom,OUT,Stem Ginger Caramel Shortbreads,5,Hummingbird Cake,Tom Hetherington,29,Architect,Edinburgh
8,4,Yan,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8,Animals of the Rainforest Caramel Cake,Yan Tsou,46,Laboratory research scientist,North London
8,5,Chris,NA,NA,NA,NA,NA,NA,NA,NA
8,5,Flo,NA,NA,NA,NA,NA,NA,NA,NA
8,5,James,OUT,Orange and Ginger Steamed School Pudding,7,'The Missed Silver Jubilee' Trifle Terrine,James Hillery,46,Banker,"Brentwood, Essex"
8,5,Julia,IN,Orange & Treacle Steamed School Pudding,3,'Opulent Ornament' Trifle Terrine,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex"
